dataset,file,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,E_over_Es,G_over_Gs,nu_iso,TAI,Zener_Z,C11_n,C12_n,C44_n,Rho_rel,L_star_mm,bbox_over_Lstar,SAV_x_cell_star,rel_surface_star,curv_mean_mean_xL_star,curv_mean_iqr_xL_star,curv_mean_p99_xL_star,curv_gauss_mean_xL2_star,curv_gauss_iqr_xL2_star,curv_gauss_p99_xL2_star,thickness_over_cell_star,family,topology,element_order,group_key
ADMS,ADMS_flow_i15p0_d55p0_t0p38_s2_m1p6.stl,15.0,55.0,0.38,2,1.6,15.023,9459888,1,1,-4222,0.477,14.791,7.0553,0.885,-32.29584,44.54647,-2.43546,13.76114,972.0653,70.6142,0.3791,0.0166,4000,0.12637,0.998,0.36906,0.31998,0.31096,1.18683,0.0581,0.3381,0.32831,0.3336,0.004,0.967,40.9,OK,ADMS_flow_i15p0_d55p0_t0p38_s2_m1p6,0.2128,0.22081,0.2528,0.0384,0.942,0.26083,0.085185,0.083735,0.47855353,0.42521,35.3308,2.096436,0.999999,-0.345195,1.950467,10.008664,-0.648806,0.894914,19.528263,0.891579,ADMS,flow,quadratic,ADMS|flow|23
ADMS,ADMS_flow_i15p0_d24p37_t0p88_s2_m1p6.stl,15.0,24.37,0.88,2,1.6,15.019,4235840,1,1,-368,0.48073,6.7628,3.2511,0.853,-6.74154,11.14925,-1.16936,6.53598,303.0605,40.5013,0.8799,0.0491,4000,0.29329,1.0,0.36127,0.33397,0.30476,1.18542,0.05651,0.32762,0.3372,0.33519,0.00412,0.926,43.0,OK,ADMS_flow_i15p0_d24p37_t0p88_s2_m1p6,0.19768,0.20582,0.2486,0.057,0.853,0.24633,0.07188,0.074215,0.48174902,0.92277,16.276,2.08017,1.000006,-0.359683,2.010402,12.457795,-0.637828,1.054849,28.673044,0.95351,ADMS,flow,quadratic,ADMS|flow|24
ADMS,ADMS_DF_i15p0_d24p44_t0p87_s2_m1p6.stl,15.0,24.44,0.87,2,1.6,15.019,4469264,1,1,-490,0.48246,7.0809,3.4162,0.806,-8.26095,12.31384,-1.23926,6.45078,244.6055,38.9339,0.8717,0.0984,4000,0.29058,1.002,0.36176,0.3204,0.31784,1.13817,0.04392,0.33236,0.32983,0.33781,0.00333,0.898,41.8,OK,ADMS_DF_i15p0_d24p44_t0p87_s2_m1p6,0.22645,0.23464,0.2546,0.0256,1.0216,0.268435,0.09292,0.089165,0.48374677,0.87816,17.1028,2.072711,0.999985,-0.362754,1.888263,11.396674,-0.707832,1.055101,20.958812,0.992694,ADMS,df,quadratic,ADMS|df|24
ADMS,ADMS_DF_i15p0_d31p66_t0p65_s2_m1p6.stl,15.0,31.66,0.65,2,1.6,15.019,5779936,1,1,-1176,0.48385,9.0497,4.3787,0.846,-15.22736,23.48918,-1.75569,9.26189,410.3599,49.7866,0.6472,0.0359,4000,0.21574,0.996,0.35538,0.32812,0.3165,1.12284,0.03888,0.32723,0.33812,0.33464,0.00454,0.931,35.4,OK,ADMS_DF_i15p0_d31p66_t0p65_s2_m1p6,0.22953,0.23792,0.2542,0.0247,0.9739,0.279785,0.09358499999999999,0.090435,0.48538039,0.68514,21.9211,2.066756,1.000001,-0.400962,2.115216,11.370185,-0.794209,1.225118,21.40302,0.94466,ADMS,df,quadratic,ADMS|df|24
ADMS,ADMS_raw_i15p0_d46p2_t0p48_s2_m1p6.stl,15.0,46.2,0.48,2,1.6,15.013,7778188,1,1,-2670,0.48492,11.8152,5.7294,0.859,-25.12635,37.95433,-2.30299,12.05638,591.617,59.3354,0.4793,0.0175,4000,0.15976,0.999,0.34837,0.32996,0.32168,1.08298,0.02669,0.33203,0.33416,0.33382,0.00094,0.957,37.0,OK,ADMS_raw_i15p0_d46p2_t0p48_s2_m1p6,0.23623,0.24414,0.2579,0.0299,1.0935,0.282465,0.10422000000000001,0.098535,0.48550208,0.52361,28.6721,2.062196,0.999995,-0.401958,2.104291,10.356254,-0.765433,1.156216,18.022635,0.915333,ADMS,raw,quadratic,ADMS|raw|24
ADMS,ADMS_raw_i15p0_d39p78_t0p56_s2_m1p6.stl,15.0,39.78,0.56,2,1.6,15.012,6668134,1,1,-1664,0.48793,10.1275,4.9415,0.853,-18.26993,29.10946,-2.00683,10.53175,491.4023,53.8611,0.5642,0.0248,4000,0.18807,1.008,0.34366,0.32992,0.32642,1.05281,0.01724,0.33484,0.33191,0.33324,0.0012,0.949,35.6,OK,ADMS_raw_i15p0_d39p78_t0p56_s2_m1p6,0.23338,0.24173,0.2551,0.0297,1.0829,0.27159,0.09882999999999999,0.09564500000000001,0.48865376,0.6071,24.7274,2.049474,0.999998,-0.406117,2.131281,10.899723,-0.748199,1.192105,20.124154,0.92935,ADMS,raw,quadratic,ADMS|raw|24
ADMS,ADMS_DF_i15p0_d39p6_t0p54_s2_m1p6.stl,15.0,39.6,0.54,2,1.6,15.029,6980884,1,1,-2144,0.48887,10.8064,5.283,0.83,-21.86604,33.00036,-2.10423,11.18692,515.688,56.0482,0.5402,0.0306,4000,0.18005,1.0,0.35673,0.32625,0.31702,1.12524,0.0397,0.32641,0.3392,0.33439,0.00528,0.927,35.7,OK,ADMS_DF_i15p0_d39p6_t0p54_s2_m1p6,0.24547,0.25367,0.258,0.0243,0.9827,0.30627,0.102425,0.09634000000000001,0.49099304,0.56787,26.4656,2.045534,1.000014,-0.398308,2.117562,10.609313,-0.783468,1.182415,18.477286,0.951191,ADMS,df,quadratic,ADMS|df|24
ADMS,ADMS_raw_i15p0_d33p36_t0p68_s2_m1p6.stl,15.0,33.36,0.68,2,1.6,15.012,5577100,1,1,-944,0.48965,8.4626,4.1437,0.866,-12.87477,21.40853,-1.67666,9.07043,362.9778,46.6591,0.683,0.0278,4000,0.22768,1.004,0.35025,0.33289,0.31687,1.10533,0.03338,0.32218,0.34183,0.33599,0.00824,0.943,37.7,OK,ADMS_raw_i15p0_d33p36_t0p68_s2_m1p6,0.22882,0.23738,0.2531,0.0371,1.0976,0.274925,0.09420500000000001,0.09313,0.49033819,0.72399,20.7351,2.042275,0.999997,-0.404628,2.188962,11.260218,-0.749826,1.246831,21.139802,0.94344,ADMS,raw,quadratic,ADMS|raw|24
ADMS,ADMS_DF_i15p0_d30p93_t0p7_s2_m1p6.stl,15.0,30.93,0.7,2,1.6,15.014,5502072,1,1,-990,0.50147,8.3891,4.2069,0.83,-13.67972,21.66731,-1.74365,9.02263,419.1505,49.7757,0.7023,0.0401,4000,0.23411,1.003,0.35922,0.32583,0.31496,1.14054,0.04426,0.33301,0.34002,0.32697,0.00533,0.92,45.6,OK,ADMS_DF_i15p0_d30p93_t0p7_s2_m1p6,0.2418,0.25052,0.2547,0.0272,0.9624,0.294335,0.09814500000000001,0.093335,0.5029,0.71312,21.054,1.994137,1.000004,-0.414476,2.144731,11.83197,-0.772959,1.22429,23.683688,0.984873,ADMS,df,quadratic,ADMS|df|25
ADMS,ADMS_flow_i15p0_d25p43_t0p87_s2_m1p6.stl,15.0,25.43,0.87,2,1.6,15.019,4414132,1,1,-428,0.50822,6.67,3.3898,0.852,-7.25465,12.08314,-1.26939,6.85153,413.5472,44.9056,0.876,0.0603,4000,0.292,1.007,0.35566,0.32911,0.31524,1.12822,0.04042,0.33839,0.33834,0.32327,0.00712,0.926,43.7,OK,ADMS_flow_i15p0_d25p43_t0p87_s2_m1p6,0.21548,0.22498,0.2451,0.0542,0.8672,0.26441,0.07733,0.079925,0.50961505,0.885,16.9706,1.967652,0.999992,-0.37447,2.021203,13.247164,-0.631337,1.051537,35.989011,0.98983,ADMS,flow,quadratic,ADMS|flow|25
ADMS,ADMS_DF_i15p0_d30p93_t0p8_s2_m1p6.stl,15.0,30.93,0.8,2,1.6,15.021,5231024,1,1,-758,0.56224,7.156,4.0234,0.813,-11.06318,21.30675,-2.02814,9.11733,617.5378,56.5869,0.8025,0.0577,4000,0.26751,1.003,0.36006,0.32568,0.31426,1.14574,0.0458,0.33305,0.34037,0.32659,0.00563,0.904,53.3,OK,ADMS_DF_i15p0_d30p93_t0p8_s2_m1p6,0.29966,0.31033,0.2553,0.0242,0.97,0.36532,0.12256,0.11630499999999999,0.5637,0.74564,20.1451,1.7786,1.000003,-0.504087,2.266082,14.064485,-0.683433,1.316234,38.14867,1.076297,ADMS,df,quadratic,ADMS|df|28
TPMS,C(I2-Y) Generator_0.10.stl,,,,,,10.014,357044,1,1,-72,0.09927,120.0711,11.9196,0.876,-55.49102,52.47524,-0.57538,13.93587,353.0383,39.0581,0.1622,0.0388,4000,0.01622,,0.33335,0.33333,0.33332,1.0001,3e-05,0.33333,0.33333,0.33334,1e-05,0.962,48.8,OK,C(I2-Y) Generator_0.10,0.033143,0.033094,0.301902,0.021112,0.919637,0.045733,0.018962,0.01231,0.09927,0.83896,11.9362,10.073537,1.000012,-0.048272,1.16917,3.276835,-0.39058,0.369353,2.484899,0.193334,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|4
TPMS,C(I2-Y) Generator_0.12.stl,,,,,,10.011,357258,1,1,-72,0.11971,100.3588,12.014,0.868,-55.52929,51.52435,-0.69553,13.99281,363.7928,38.7849,0.1948,0.0464,4000,0.01948,,0.33335,0.33334,0.3333,1.00015,5e-05,0.33333,0.33332,0.33335,2e-05,0.956,48.2,OK,C(I2-Y) Generator_0.12,0.041355,0.041437,0.297421,0.019033,0.928601,0.056239,0.022916,0.015472,0.11971,0.83237,12.0271,8.353521,1.000004,-0.057894,1.164713,3.228322,-0.384725,0.356977,2.520475,0.234032,TPMS,C(I2-Y) Generator,quadratic,TPMS|C(I2-Y) Generator|5
