dataset,file,topology,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,C11_n,C12_n,C44_n,TAI,E_over_Es,G_over_Gs,nu_iso,Zener_Z,Rho_rel,group_key,element_order
TPMS,P+C(P) Generator_0.22.stl,P+C(P) Generator,,,,,,10.016,230784,1,1,-32,0.21846,37.2016,8.127,0.848,-38.83996,50.783,-1.31684,13.42857,296.8322,32.2573,0.5932,0.1148,4000,0.05932,,0.33335,0.33334,0.33331,1.00014,5e-05,0.33331,0.33335,0.33335,2e-05,0.936,33.6,OK,P+C(P) Generator_0.22,0.068057,0.022857,0.024711,0.027874,0.059135,0.061991,0.240105,1.093391,0.21846,TPMS|P+C(P) Generator|10,quadratic
TPMS,P+C(P) Generator_0.24.stl,P+C(P) Generator,,,,,,10.017,233152,1,1,-32,0.23876,34.1948,8.1643,0.838,-38.89234,50.58537,-1.48864,13.3684,330.4043,33.8797,0.639,0.1252,4000,0.0639,,0.33339,0.33333,0.33329,1.0003,0.0001,0.33339,0.33332,0.3333,4e-05,0.926,33.5,OK,P+C(P) Generator_0.24,0.078868,0.026186,0.028044,0.019465,0.067901,0.071113,0.241293,1.06465,0.23876,TPMS|P+C(P) Generator|11,quadratic
TPMS,P+C(P) Generator_0.26.stl,P+C(P) Generator,,,,,,10.016,233520,1,1,-32,0.25864,31.6539,8.187,0.821,-39.1445,49.57061,-1.6729,13.40607,364.2228,35.2267,0.6965,0.1361,4000,0.06965,,0.33333,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.916,33.4,OK,P+C(P) Generator_0.26,0.089397,0.029305,0.031271,0.012522,0.076427,0.08001,0.241788,1.040788,0.25864,TPMS|P+C(P) Generator|12,quadratic
TPMS,P+C(P) Generator_0.28.stl,P+C(P) Generator,,,,,,10.036,231664,1,1,-32,0.27681,29.4711,8.158,0.82,-39.18632,47.62346,-1.80552,13.41471,378.15,36.3255,0.7462,0.1454,4000,0.07462,,0.33334,0.33333,0.33333,1.00001,0.0,0.33333,0.33333,0.33333,0.0,0.91,35.9,OK,P+C(P) Generator_0.28,0.101397,0.033013,0.034853,0.00599,0.085988,0.089919,0.243169,1.019313,0.27681,TPMS|P+C(P) Generator|13,quadratic
TPMS,P+C(P) Generator_0.30.stl,P+C(P) Generator,,,,,,10.092,230320,1,1,-32,0.29122,27.6123,8.0413,0.815,-39.11585,46.84729,-1.93792,13.217,417.3539,37.1896,0.798,0.1573,4000,0.0798,,0.33343,0.33332,0.33326,1.00051,0.00017,0.33328,0.3334,0.33333,5e-05,0.899,34.2,OK,P+C(P) Generator_0.30,0.113863,0.036883,0.038568,0.000528,0.095917,0.100203,0.244393,1.002045,0.29122,TPMS|P+C(P) Generator|14,quadratic
TPMS,Q star Generator_0.10.stl,Q star Generator,,,,,,10.012,219652,1,1,-6,0.09954,72.202,7.1867,0.888,-11.27017,9.1157,-0.65444,6.63184,86.0073,20.9429,0.2078,0.1593,4000,0.02078,,0.4338,0.38883,0.17737,2.44567,0.25642,0.30562,0.30556,0.38883,0.03924,0.966,36.4,OK,Q star Generator_0.10,0.042668,0.01911,0.013122,0.305792,0.027299,0.027141,0.307554,1.114033,0.09954,TPMS|Q star Generator|4,quadratic
TPMS,Q star Generator_0.12.stl,Q star Generator,,,,,,10.012,219616,1,1,-6,0.11978,60.1742,7.2079,0.881,-11.36693,9.18712,-0.69908,6.61273,87.2741,20.8444,0.2548,0.1766,4000,0.02548,,0.43272,0.39053,0.17675,2.44819,0.25597,0.30475,0.30473,0.39053,0.04044,0.959,36.5,OK,Q star Generator_0.12,0.053383,0.023474,0.016538,0.287345,0.034744,0.034654,0.303379,1.105883,0.11978,TPMS|Q star Generator|5,quadratic
TPMS,Q star Generator_0.14.stl,Q star Generator,,,,,,10.014,219366,1,1,-6,0.13947,51.8446,7.2306,0.874,-11.45687,9.26783,-0.74285,6.65927,86.7178,20.6873,0.3016,0.1952,4000,0.03016,,0.43169,0.39207,0.17624,2.44944,0.25545,0.30399,0.30394,0.39207,0.04154,0.951,36.4,OK,Q star Generator_0.14,0.064287,0.027822,0.020039,0.272467,0.042423,0.042425,0.299931,1.099077,0.13947,TPMS|Q star Generator|6,quadratic
TPMS,Q star Generator_0.16.stl,Q star Generator,,,,,,10.013,219112,1,1,-6,0.15877,45.7129,7.2577,0.867,-11.54227,9.37169,-0.78785,6.68173,86.9986,20.9059,0.3482,0.2112,4000,0.03482,,0.43071,0.39348,0.17581,2.44985,0.2549,0.30331,0.30321,0.39348,0.04253,0.944,36.7,OK,Q star Generator_0.16,0.075292,0.032136,0.023611,0.260104,0.050266,0.050383,0.29699,1.094221,0.15877,TPMS|Q star Generator|7,quadratic
TPMS,Q star Generator_0.18.stl,Q star Generator,,,,,,10.012,219020,1,1,-6,0.17918,40.6587,7.2853,0.86,-11.64642,9.52965,-0.83844,6.6905,88.8782,20.9837,0.3991,0.2281,4000,0.03991,,0.4298,0.39484,0.17536,2.45087,0.25443,0.30258,0.30258,0.39484,0.04349,0.936,37.3,OK,Q star Generator_0.18,0.087458,0.03683,0.027586,0.248561,0.059035,0.059299,0.294221,1.089741,0.17918,TPMS|Q star Generator|8,quadratic
TPMS,Q star Generator_0.20.stl,Q star Generator,,,,,,10.013,218920,1,1,-6,0.19922,36.7115,7.3137,0.852,-11.73576,9.62659,-0.88596,6.73173,88.1927,20.8731,0.4498,0.2386,4000,0.04498,,0.42898,0.39606,0.17496,2.45195,0.25403,0.30194,0.302,0.39606,0.04435,0.929,36.6,OK,Q star Generator_0.20,0.099831,0.04154,0.031657,0.238357,0.068056,0.068488,0.291799,1.086194,0.19922,TPMS|Q star Generator|9,quadratic
TPMS,Q star Generator_0.22.stl,Q star Generator,,,,,,10.011,218864,1,1,-6,0.21952,33.4341,7.3396,0.844,-11.83823,9.89582,-0.93847,6.76993,89.0741,21.1519,0.5026,0.253,4000,0.05026,,0.4282,0.39719,0.1746,2.45244,0.2536,0.30145,0.30135,0.39719,0.04516,0.921,34.9,OK,Q star Generator_0.22,0.112885,0.046455,0.035997,0.228838,0.077676,0.078306,0.289543,1.083766,0.21952,TPMS|Q star Generator|10,quadratic
TPMS,Q star Generator_0.24.stl,Q star Generator,,,,,,10.011,218816,1,1,-6,0.23895,30.8409,7.3694,0.837,-11.93536,10.09626,-0.98867,6.82002,91.2314,21.3947,0.5473,0.2662,4000,0.05473,,0.42758,0.39815,0.17427,2.45351,0.25331,0.30092,0.30093,0.39815,0.04583,0.913,34.8,OK,Q star Generator_0.24,0.125652,0.051203,0.040268,0.220519,0.087186,0.088027,0.287568,1.081764,0.23895,TPMS|Q star Generator|11,quadratic
TPMS,Q star Generator_0.26.stl,Q star Generator,,,,,,10.015,218508,1,1,-6,0.25866,28.5897,7.3949,0.83,-12.04997,10.28658,-1.04208,6.81561,92.2703,21.3302,0.6027,0.2799,4000,0.06027,,0.42693,0.3991,0.17397,2.45407,0.25296,0.30048,0.30041,0.3991,0.04651,0.906,34.4,OK,Q star Generator_0.26,0.139208,0.056221,0.044839,0.212368,0.09741,0.098495,0.285678,1.080622,0.25866,TPMS|Q star Generator|12,quadratic
TPMS,Q star Generator_0.28.stl,Q star Generator,,,,,,10.012,218324,1,1,-6,0.27907,26.6136,7.427,0.821,-12.15261,10.35768,-1.09858,6.87236,93.4059,21.6959,0.6544,0.2992,4000,0.06544,,0.42634,0.39997,0.1737,2.45451,0.25264,0.30004,0.29999,0.39997,0.04712,0.897,34.5,OK,Q star Generator_0.28,0.153118,0.061292,0.049572,0.205096,0.107973,0.109339,0.283756,1.079691,0.27907,TPMS|Q star Generator|13,quadratic
TPMS,Q star Generator_0.30.stl,Q star Generator,,,,,,10.011,218128,1,1,-6,0.29833,24.9855,7.4539,0.813,-12.26799,10.73895,-1.15273,6.90876,93.5116,21.8394,0.7048,0.3097,4000,0.07048,,0.42583,0.40071,0.17346,2.455,0.25238,0.29964,0.29965,0.40071,0.04764,0.889,33.6,OK,Q star Generator_0.30,0.167223,0.066425,0.054368,0.197882,0.118782,0.120435,0.282157,1.078748,0.29833,TPMS|Q star Generator|14,quadratic
TPMS,Slotted-P Generator_0.10.stl,Slotted-P Generator,,,,,,10.012,262664,1,1,-40,0.09905,92.4648,9.1584,0.902,-27.34827,26.53438,-0.3748,10.761,181.5457,23.4485,0.2231,0.0336,4000,0.02231,,0.33334,0.33334,0.33333,1.00004,1e-05,0.33334,0.33333,0.33334,1e-05,0.948,39.4,OK,Slotted-P Generator_0.10,0.03975,0.018716,0.011112,0.01276,0.028586,0.028264,0.314826,1.056602,0.09905,TPMS|Slotted-P Generator|4,quadratic
TPMS,Slotted-P Generator_0.12.stl,Slotted-P Generator,,,,,,10.011,263292,1,1,-40,0.11927,77.4002,9.2317,0.897,-27.49338,26.32713,-0.44868,10.7944,182.6253,23.6507,0.2677,0.0393,4000,0.02677,,0.33335,0.33333,0.33332,1.00007,2e-05,0.33334,0.33334,0.33333,0.0,0.941,38.9,OK,Slotted-P Generator_0.12,0.049741,0.023373,0.013759,0.009904,0.035589,0.035167,0.315575,1.04362,0.11927,TPMS|Slotted-P Generator|5,quadratic
TPMS,Slotted-P Generator_0.14.stl,Slotted-P Generator,,,,,,10.011,263848,1,1,-40,0.13955,66.6432,9.3001,0.891,-27.34982,26.10215,-0.532,10.83881,183.8806,23.94,0.3125,0.0456,4000,0.03125,,0.33335,0.33333,0.33332,1.00009,3e-05,0.33335,0.33333,0.33332,1e-05,0.932,39.1,OK,Slotted-P Generator_0.14,0.060086,0.028012,0.016503,0.006658,0.042914,0.042419,0.315199,1.029052,0.13955,TPMS|Slotted-P Generator|6,quadratic
TPMS,Slotted-P Generator_0.16.stl,Slotted-P Generator,,,,,,10.011,264724,1,1,-40,0.15906,58.8694,9.3637,0.885,-27.39392,26.53154,-0.61202,10.90033,193.7547,23.5654,0.3545,0.0515,4000,0.03545,,0.33334,0.33334,0.33333,1.00004,1e-05,0.33333,0.33334,0.33334,1e-05,0.927,38.8,OK,Slotted-P Generator_0.16,0.070472,0.032486,0.019294,0.003652,0.050389,0.049852,0.313991,1.015826,0.15906,TPMS|Slotted-P Generator|7,quadratic
TPMS,Slotted-P Generator_0.18.stl,Slotted-P Generator,,,,,,10.01,266984,1,1,-40,0.17945,52.5536,9.4307,0.879,-27.46609,26.70603,-0.69241,10.84907,190.1386,24.0587,0.3992,0.0578,4000,0.03992,,0.33334,0.33334,0.33333,1.00004,1e-05,0.33333,0.33334,0.33334,1e-05,0.92,40.0,OK,Slotted-P Generator_0.18,0.081656,0.037095,0.022342,0.000687,0.058563,0.058023,0.312105,1.002763,0.17945,TPMS|Slotted-P Generator|8,quadratic
TPMS,Slotted-P Generator_0.20.stl,Slotted-P Generator,,,,,,10.008,268424,1,1,-40,0.19949,47.5847,9.4926,0.869,-27.56102,26.69036,-0.7727,10.95166,184.6222,24.2577,0.4428,0.062,4000,0.04428,,0.33334,0.33333,0.33333,1.00003,1e-05,0.33334,0.33333,0.33333,0.0,0.917,40.1,OK,Slotted-P Generator_0.20,0.09307,0.041596,0.025488,0.00229,0.06703,0.066525,0.309856,0.990346,0.19949,TPMS|Slotted-P Generator|9,quadratic
TPMS,Slotted-P Generator_0.22.stl,Slotted-P Generator,,,,,,10.012,268168,1,1,-40,0.21937,43.4992,9.5424,0.865,-27.59636,26.56957,-0.85098,10.90017,189.9532,24.3992,0.4893,0.0706,4000,0.04893,,0.33334,0.33333,0.33332,1.00007,2e-05,0.33334,0.33332,0.33333,1e-05,0.909,40.9,OK,Slotted-P Generator_0.22,0.104907,0.046088,0.028822,0.004914,0.075966,0.075543,0.307277,0.980017,0.21937,TPMS|Slotted-P Generator|10,quadratic
TPMS,Slotted-P Generator_0.24.stl,Slotted-P Generator,,,,,,10.011,268896,1,1,-40,0.23909,40.1363,9.596,0.859,-27.6857,27.12316,-0.93702,11.0433,192.8131,24.1367,0.531,0.0755,4000,0.0531,,0.33335,0.33333,0.33332,1.00009,3e-05,0.33333,0.33334,0.33333,0.0,0.901,40.5,OK,Slotted-P Generator_0.24,0.116971,0.050499,0.032272,0.007193,0.085196,0.084899,0.304558,0.971007,0.23909,TPMS|Slotted-P Generator|11,quadratic
TPMS,Slotted-P Generator_0.26.stl,Slotted-P Generator,,,,,,10.011,271092,1,1,-40,0.25955,37.1687,9.6471,0.852,-27.99321,26.8178,-1.03135,11.02715,199.3321,25.2282,0.5778,0.081,4000,0.05778,,0.33334,0.33333,0.33333,1.00004,1e-05,0.33334,0.33333,0.33333,1e-05,0.897,41.2,OK,Slotted-P Generator_0.26,0.129559,0.054881,0.035919,0.009721,0.094965,0.094849,0.301589,0.961976,0.25955,TPMS|Slotted-P Generator|12,quadratic
TPMS,Slotted-P Generator_0.28.stl,Slotted-P Generator,,,,,,10.012,270072,1,1,-40,0.27929,34.7058,9.693,0.848,-27.9732,26.77484,-1.12211,11.09101,200.8525,25.4094,0.621,0.0864,4000,0.0621,,0.33334,0.33334,0.33332,1.00007,2e-05,0.33334,0.33334,0.33332,1e-05,0.89,40.0,OK,Slotted-P Generator_0.28,0.142485,0.059293,0.039781,0.011361,0.105187,0.105303,0.29857,0.956367,0.27929,TPMS|Slotted-P Generator|13,quadratic
TPMS,Slotted-P Generator_0.30.stl,Slotted-P Generator,,,,,,10.011,272288,1,1,-40,0.29919,32.5498,9.7386,0.838,-28.20776,27.48391,-1.21559,11.05673,204.98,25.6361,0.665,0.0956,4000,0.0665,,0.33334,0.33333,0.33333,1.00003,1e-05,0.33334,0.33333,0.33334,0.0,0.885,38.8,OK,Slotted-P Generator_0.30,0.155953,0.063826,0.043803,0.013046,0.115822,0.116198,0.295796,0.950934,0.29919,TPMS|Slotted-P Generator|14,quadratic
TPMS,Split-P Generator_0.12.stl,Split-P Generator,,,,,,10.014,315360,1,1,-64,0.11998,89.7091,10.7637,0.847,-40.2072,42.63926,-0.57827,13.42039,198.4076,32.6682,0.2255,0.0628,4000,0.02255,,0.33336,0.33335,0.33328,1.00025,8e-05,0.33336,0.33328,0.33336,4e-05,0.95,44.2,OK,Split-P Generator_0.12,0.054827,0.025173,0.014868,0.00065,0.039042,0.038614,0.314398,1.002735,0.11998,TPMS|Split-P Generator|5,quadratic
TPMS,Split-P Generator_0.14.stl,Split-P Generator,,,,,,10.016,315928,1,1,-64,0.13969,77.7082,10.8553,0.842,-40.32533,41.97545,-0.67929,13.44307,209.602,33.0892,0.2625,0.0736,4000,0.02625,,0.33336,0.33334,0.3333,1.00017,6e-05,0.3333,0.33336,0.33334,2e-05,0.944,43.7,OK,Split-P Generator_0.14,0.06517,0.029201,0.017935,0.000697,0.047035,0.046687,0.3097,0.997246,0.13969,TPMS|Split-P Generator|6,quadratic
TPMS,Split-P Generator_0.16.stl,Split-P Generator,,,,,,10.017,318128,1,1,-64,0.15861,68.9509,10.9365,0.838,-40.43987,42.10195,-0.7744,13.4317,211.4711,33.3541,0.2973,0.0811,4000,0.02973,,0.33337,0.33332,0.3333,1.00021,7e-05,0.33332,0.33331,0.33337,3e-05,0.938,45.3,OK,Split-P Generator_0.16,0.075473,0.03309,0.021048,0.001684,0.055106,0.054874,0.305493,0.993223,0.15861,TPMS|Split-P Generator|7,quadratic
TPMS,Split-P Generator_0.18.stl,Split-P Generator,,,,,,10.017,319796,1,1,-64,0.17902,61.5958,11.027,0.832,-40.63206,41.54172,-0.88219,13.40607,215.4831,33.1586,0.3331,0.0961,4000,0.03331,,0.33334,0.33334,0.33332,1.00007,2e-05,0.33332,0.33334,0.33333,1e-05,0.93,44.9,OK,Split-P Generator_0.18,0.086444,0.037026,0.024433,0.002856,0.063869,0.063817,0.301057,0.98884,0.17902,TPMS|Split-P Generator|8,quadratic
TPMS,Split-P Generator_0.20.stl,Split-P Generator,,,,,,10.015,321062,1,1,-64,0.19894,55.8776,11.1164,0.826,-40.8663,41.88717,-0.99176,13.25981,230.0578,33.6361,0.3731,0.1048,4000,0.03731,,0.33336,0.33333,0.33331,1.00016,5e-05,0.33334,0.33335,0.33331,2e-05,0.924,47.2,OK,Split-P Generator_0.20,0.098123,0.041294,0.028066,0.003146,0.07319,0.073331,0.297489,0.987748,0.19894,TPMS|Split-P Generator|9,quadratic
TPMS,Split-P Generator_0.22.stl,Split-P Generator,,,,,,10.085,323602,1,1,-76,0.21481,51.3114,11.0224,0.833,-40.90641,42.01963,-1.07998,13.34425,237.6961,34.5991,0.4066,0.1168,4000,0.04066,,0.33335,0.33333,0.33332,1.00008,3e-05,0.33334,0.33334,0.33333,1e-05,0.916,45.1,OK,Split-P Generator_0.22,0.110297,0.045576,0.031896,0.00375,0.083022,0.083411,0.293938,0.985634,0.21481,TPMS|Split-P Generator|10,quadratic
TPMS,Split-P Generator_0.24.stl,Split-P Generator,,,,,,10.016,324760,1,1,-76,0.23899,47.2705,11.2971,0.812,-41.30511,41.70393,-1.20946,13.41206,243.015,33.6802,0.4443,0.126,4000,0.04443,,0.33335,0.33333,0.33332,1.00008,3e-05,0.33333,0.33334,0.33334,1e-05,0.908,43.9,OK,Split-P Generator_0.24,0.122541,0.049761,0.035823,0.004074,0.093038,0.093722,0.290508,0.984407,0.23899,TPMS|Split-P Generator|11,quadratic
TPMS,Split-P Generator_0.26.stl,Split-P Generator,,,,,,10.015,324944,1,1,-76,0.2586,43.9366,11.3622,0.807,-41.52978,41.03242,-1.32032,13.36216,275.2977,34.0257,0.4807,0.1402,4000,0.04807,,0.33335,0.33334,0.33331,1.00011,4e-05,0.33335,0.33333,0.33332,1e-05,0.901,46.5,OK,Split-P Generator_0.26,0.135071,0.054015,0.039878,0.004305,0.103342,0.10435,0.287442,0.983966,0.2586,TPMS|Split-P Generator|12,quadratic
TPMS,Split-P Generator_0.28.stl,Split-P Generator,,,,,,10.015,324960,1,1,-76,0.27843,40.9693,11.4069,0.803,-41.83196,41.11039,-1.43291,13.35337,280.8864,34.9892,0.5138,0.1527,4000,0.05138,,0.33336,0.33334,0.3333,1.00017,6e-05,0.33336,0.33334,0.3333,2e-05,0.896,45.0,OK,Split-P Generator_0.28,0.163126,0.063324,0.048934,0.005323,0.126437,0.128229,0.281834,0.980632,0.27843,TPMS|Split-P Generator|13,quadratic
TPMS,Split-P Generator_0.30.stl,Split-P Generator,,,,,,10.017,326200,1,1,-76,0.29822,38.4035,11.4527,0.798,-42.18515,41.33231,-1.55574,13.40006,280.6986,35.3237,0.5513,0.1639,4000,0.05513,,0.33335,0.33333,0.33332,1.00007,2e-05,0.33333,0.33333,0.33333,0.0,0.89,45.0,OK,Split-P Generator_0.30,0.165887,0.062961,0.050403,0.005713,0.129838,0.132128,0.277471,0.979397,0.29822,TPMS|Split-P Generator|14,quadratic
