dataset,file,topology,inner,density_param,t_input,seed,size_multi,bbox_mm,n_tris,watertight,winding_ok,euler,VF,SAV_x_cell,rel_surface,interior_vert_frac,curv_gauss_mean_xL2,curv_gauss_iqr_xL2,curv_mean_mean_xL,curv_mean_iqr_xL,curv_gauss_p99_xL2,curv_mean_p99_xL,thickness_med_mm,thickness_std_mm,thickness_hits,thickness_over_cell,thickness_ratio,fabric_l1,fabric_l2,fabric_l3,fabric_DA,fabric_aniso,normal_x,normal_y,normal_z,normal_spread,fabric_kept_frac,extract_s,status,Run,adms_type,E_over_Es,G_over_Gs,nu_iso,TAI,Zener_Z,C11_n,C12_n,C44_n,onset_n,shear_onset_n,Rho_rel,GaussCurv_nTop,MeanCurv_nTop,Status,Version,VF_vs_rho,thickness_ratio_chk,curv_gauss_vs_ntop,curv_mean_vs_ntop
ADMS,ADMS_flow_i15p0_d22p85_t0p4_s2_m1p6.stl,,15.0,22.85,0.4,2,1.6,15.014,4334372,1,1,-358,0.2124,15.3442,3.259,0.896,-5.83683,8.02113,-0.41139,5.52652,189.413,34.8115,0.4012,0.0062,4000,0.13372,1.003,0.3833,0.32791,0.2888,1.32723,0.0945,0.35682,0.3102,0.33298,0.01904,0.97,23.6,OK,ADMS_flow_i15p0_d22p85_t0p4_s2_m1p6,flow,0.0475,0.04868,0.2683,0.1005,0.7591,0.062645,0.019285,0.016739999999999998,0.033271999999999996,0.026756,0.213153860316083,-6.3298886,-0.44944056,OK,1,0.9965,1.003,0.9221,0.9153
ADMS,ADMS_flow_i18p0_d26p89_t0p33_s2_m1p6.stl,,18.0,26.89,0.33,2,1.6,18.019,9005868,1,1,-1092,0.21248,18.3269,3.8941,0.902,-8.54121,12.54531,-0.48979,7.03287,210.9314,37.4768,0.3312,0.0031,4000,0.11038,1.003,0.34588,0.32995,0.32417,1.06696,0.02171,0.3357,0.33009,0.33421,0.00237,0.979,45.0,OK,ADMS_flow_i18p0_d26p89_t0p33_s2_m1p6,flow,0.05086,0.05186,0.2748,0.0764,0.7865,0.07097,0.022185,0.01901,0.036728000000000004,0.027828,0.2131907914539336,-9.1439569,-0.50057545,OK,1,0.9967,1.0036,0.9341,0.9785
ADMS,ADMS_flow_i15p0_d12p75_t0p8_s2_m1p6.stl,,15.0,12.75,0.8,2,1.6,15.011,2196032,1,1,-48,0.21351,7.9154,1.69,0.887,-1.56268,1.72698,-0.23204,2.50927,102.6283,25.1918,0.8008,0.0347,4000,0.26695,1.001,0.41686,0.32776,0.25538,1.63233,0.16148,0.33294,0.32342,0.34364,0.00826,0.946,26.0,OK,ADMS_flow_i15p0_d12p75_t0p8_s2_m1p6,flow,0.02825,0.02973,0.2352,0.2536,0.6068,0.03649,0.00732,0.01006,0.019972,0.01654,0.2138963793372812,-1.7613485,-0.26082661,OK,1,0.9982,1.001,0.8872,0.8896
ADMS,ADMS_DF_5cube_d22p85_r022.stl,,,22.85,,,,15.016,4404896,1,1,-390,0.21469,15.5198,3.3319,0.862,-6.49913,8.19446,-0.43793,5.35038,215.8471,37.2891,0.4012,0.0081,4000,0.13374,,0.34904,0.33003,0.32092,1.08762,0.02812,0.32292,0.33238,0.34469,0.00891,0.955,30.8,OK,ADMS_DF_5cube_d22p85_r022,df,0.05388,0.0558,0.2553,0.0874,0.833,0.07531,0.021025000000000002,0.021195,,,0.22,-7.1265963,-0.51848168,OK (legacy),1,0.9759,,0.912,0.8446
ADMS,ADMS_DF_i15p0_d26p89_t0p33_s2_m1p6.stl,,15.0,26.89,0.33,2,1.6,15.016,5387076,1,1,-730,0.21748,18.5259,4.0291,0.873,-9.78274,14.21828,-0.54645,7.22376,248.4814,40.8692,0.3313,0.003,4000,0.11042,1.004,0.35655,0.32755,0.3159,1.1287,0.04066,0.33632,0.32927,0.33441,0.00298,0.966,27.8,OK,ADMS_DF_i15p0_d26p89_t0p33_s2_m1p6,df,0.05798,0.06008,0.2547,0.0516,0.9116,0.070525,0.022945000000000004,0.02218,0.040780000000000004,0.029368,0.2184656983944069,-10.575614,-0.65177588,OK,1,0.9955,1.0039,0.925,0.8384
ADMS,ADMS_DF_i9p0_d20p83_t0p4_s2_m1p6.stl,,9.0,20.83,0.4,2,1.6,9.014,1024000,1,1,-84,0.22083,15.7939,3.4878,0.873,-5.52721,7.05846,-0.39322,4.83299,203.0119,36.0748,0.4011,0.0215,4000,0.1337,1.003,0.36343,0.32531,0.31127,1.16758,0.05216,0.31283,0.36026,0.32691,0.01989,0.948,7.3,OK,ADMS_DF_i9p0_d20p83_t0p4_s2_m1p6,df,0.037,0.04031,0.1933,0.2078,1.0895,0.04519,0.00781,0.012504999999999999,0.026324,0.018764,0.222140744249145,-5.9549285,-0.4212299,OK,2,0.9941,1.0028,0.9282,0.9335
ADMS,ADMS_DF_i15p0_d14p77_t0p6_s2_m1p6.stl,,15.0,14.77,0.6,2,1.6,15.012,3149600,1,1,-130,0.22107,10.7741,2.3819,0.81,-2.96692,2.56415,-0.30868,2.81532,151.1578,30.9061,0.6008,0.0399,4000,0.20026,1.001,0.36465,0.33665,0.29871,1.22075,0.06594,0.34003,0.33241,0.32756,0.00513,0.915,24.9,OK,ADMS_DF_i15p0_d14p77_t0p6_s2_m1p6,df,0.05326,0.05521,0.2541,0.0678,1.0056,0.066245,0.02316,0.02228,0.035984,,0.2215,-3.2050238,-0.34147777,OK (legacy),1,0.9981,1.0013,0.9257,0.904
ADMS,ADMS_raw_i15p0_d26p89_t0p37_s2_m1p6.stl,,15.0,26.89,0.37,2,1.6,15.014,4999804,1,1,-550,0.22248,16.4717,3.6646,0.907,-8.1907,12.57078,-0.50939,6.72797,205.5365,36.8562,0.3712,0.0026,4000,0.12373,1.003,0.34552,0.3312,0.32328,1.06881,0.02225,0.32503,0.3387,0.33627,0.00595,0.974,27.7,OK,ADMS_raw_i15p0_d26p89_t0p37_s2_m1p6,raw,0.05503,0.05655,0.2651,0.0484,1.1703,0.066525,0.026150000000000003,0.02303,0.043963999999999996,0.02918,0.2233908041846973,-8.7689064,-0.58977359,OK,1,0.9959,1.0032,0.9341,0.8637
ADMS,ADMS_DF_i15p0_d30p93_t0p3_s2_m1p6.stl,,15.0,30.93,0.3,2,1.6,15.018,6100056,0,1,-1039,0.22542,20.2178,4.5574,0.883,-12.6289,19.67667,-0.64485,8.72163,269.2303,43.5483,0.3021,0.0029,4000,0.10071,1.007,0.35591,0.3267,0.31739,1.12135,0.03852,0.33316,0.33909,0.32776,0.00463,0.97,32.1,OK,ADMS_DF_i15p0_d30p93_t0p3_s2_m1p6,df,0.0611,0.06281,0.2645,0.0613,0.887,0.07597000000000001,0.025115,0.022135,0.042684,,0.2261,-13.45597,-0.69417334,OK (legacy),1,0.997,1.007,0.9385,0.9289
ADMS,ADMS_flow_i15p0_d26p89_t0p36_s2_m1p6.stl,,15.0,26.89,0.36,2,1.6,15.016,5089816,1,1,-588,0.22554,16.9081,3.8134,0.902,-8.19632,11.85483,-0.51409,6.77028,205.3619,36.8008,0.361,0.008,4000,0.12034,1.003,0.36641,0.34147,0.29212,1.25434,0.0743,0.35053,0.34785,0.30161,0.02246,0.974,26.6,OK,ADMS_flow_i15p0_d26p89_t0p36_s2_m1p6,flow,0.05175,0.05325,0.2633,0.0855,0.8027,0.066495,0.020560000000000002,0.01764,0.035252000000000006,0.027652,0.226561870837195,,,OK,1,0.9955,1.0028,,
